date,time,temperatureC,salinity_ppt,pH,DO_mg/L,Nitrate,Nitrite,Ammonia,crabs fed,water flow,cleaned tanks (time),,Tank Cleaning (0-24),Notes
10/2/23,11:29,17.3,21.65,10.19,7.49,NA,NA,NA,11:15,y,11:28,am,11:28,crabs were fed atlantic ribbed mussels
10/3/23,NA,NA,NA,NA,NA,0,0,0,NA,y,9:43,am,9:43,crab 11 added at 9:26pm and crab 13 missing so replaced same day at 9:41am
10/4/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,10:16,am,10:16,water flow is very slow after cleaning. No backup of water in our manifold thinking it’s a backup in JEL system. Cannot fix this matter
10/5/23,9:53,18,23.89,9.64,7.08,5,0,0.25,NA,y,10:14,am,10:14,water is flowing stronger to all tanks ammonia and nitrate went up likely due to weak flow yesterday
10/6/23,11:50,NA,NA,NA,NA,0,0,0,NA,y,11:43.4,am,11:43.4,
10/7/23,10:53,10.3,24.43,8.47,6.79,NA,NA,NA,NA,y,10:51,am,10:51,
10/8/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,1:05,pm,13:05,
10/9/23,11:40,17.3,24.89,8.46,6.92,0,0,0,NA,y,11:37,am,11:37,
10/10/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,10:06,am,10:06,
10/11/23,9:04,16.2,24.54,8.31,7.02,5,0,0.25,NA,y,9:16,am,9:16,crab 13 escaped was present yesterday when tanks were checked. CHL was taken at 12:08pm
10/12/23,NA,NA,NA,NA,NA,NA,NA,NA,10:43,y,11:16,am,11:16,oyster 9 lost there sensor (glue came off) and it was glued back on before the data stream was started
10/13/23,END OF STUDY,,,,,,,,,,,,,
