#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
9047,08/16/2023 11:40:00,21.75,848.64
9048,08/16/2023 11:50:00,21.79,1019.52
9049,08/16/2023 12:00:00,21.75,944.32
9050,08/16/2023 12:10:00,21.75,710.72
9051,08/16/2023 12:20:00,21.66,446.56
9052,08/16/2023 12:30:00,21.70,363.84
9053,08/16/2023 12:40:00,21.66,414.56
9054,08/16/2023 12:50:00,21.62,592.96
9055,08/16/2023 13:00:00,21.62,798.40
9056,08/16/2023 13:10:00,21.53,509.44
9057,08/16/2023 13:20:00,21.58,731.52
9058,08/16/2023 13:30:00,21.49,348.96
9059,08/16/2023 13:40:00,21.45,549.76
9060,08/16/2023 13:50:00,21.45,423.20
9061,08/16/2023 14:00:00,21.32,277.44
9062,08/16/2023 14:10:00,21.23,208.56
9063,08/16/2023 14:20:00,21.19,193.60
9064,08/16/2023 14:30:00,21.10,170.24
9065,08/16/2023 14:40:00,21.10,208.56
9066,08/16/2023 14:50:00,21.06,152.60
9067,08/16/2023 15:00:00,21.06,264.24
9068,08/16/2023 15:10:00,21.02,283.52
9069,08/16/2023 15:20:00,20.98,224.16
9070,08/16/2023 15:30:00,21.02,205.76
9071,08/16/2023 15:40:00,21.06,179.76
9072,08/16/2023 15:50:00,21.06,136.88
9073,08/16/2023 16:00:00,21.15,118.56
9074,08/16/2023 16:10:00,21.23,231.12
9075,08/16/2023 16:20:00,21.23,204.88
9076,08/16/2023 16:30:00,21.32,263.36
9077,08/16/2023 16:40:00,21.36,279.20
9078,08/16/2023 16:50:00,21.40,278.32
9079,08/16/2023 17:00:00,21.45,274.00
9080,08/16/2023 17:10:00,21.49,190.16
9081,08/16/2023 17:20:00,21.49,151.72
9082,08/16/2023 17:30:00,21.49,174.32
9083,08/16/2023 17:40:00,21.58,192.72
9084,08/16/2023 17:50:00,21.53,155.20
9085,08/16/2023 18:00:00,21.62,63.18
9086,08/16/2023 18:10:00,21.58,40.50
9087,08/16/2023 18:20:00,21.70,42.28
9088,08/16/2023 18:30:00,21.70,47.48
9089,08/16/2023 18:40:00,21.75,49.26
9090,08/16/2023 18:50:00,21.75,46.18
9091,08/16/2023 19:00:00,21.79,30.05
9092,08/16/2023 19:10:00,21.83,16.32
9093,08/16/2023 19:20:00,21.88,11.29
9094,08/16/2023 19:30:00,21.88,4.35
9095,08/16/2023 19:40:00,21.88,1.73
9096,08/16/2023 19:50:00,21.92,0.43
9097,08/16/2023 20:00:00,21.92,0.00
9098,08/16/2023 20:10:00,21.88,0.00
9099,08/16/2023 20:20:00,21.96,0.00
9100,08/16/2023 20:30:00,21.96,0.00
9101,08/16/2023 20:40:00,22.01,0.00
9102,08/16/2023 20:50:00,22.01,0.00
9103,08/16/2023 21:00:00,22.05,0.00
9104,08/16/2023 21:10:00,22.01,0.00
9105,08/16/2023 21:20:00,22.01,0.00
9106,08/16/2023 21:30:00,22.01,0.00
9107,08/16/2023 21:40:00,22.05,0.00
9108,08/16/2023 21:50:00,22.01,0.00
9109,08/16/2023 22:00:00,21.88,0.00
9110,08/16/2023 22:10:00,21.83,0.00
9111,08/16/2023 22:20:00,21.75,0.00
9112,08/16/2023 22:30:00,21.70,0.00
9113,08/16/2023 22:40:00,21.70,0.00
9114,08/16/2023 22:50:00,21.62,0.00
9115,08/16/2023 23:00:00,21.62,0.00
9116,08/16/2023 23:10:00,21.58,0.00
9117,08/16/2023 23:20:00,21.58,0.00
9118,08/16/2023 23:30:00,21.58,0.00
9119,08/16/2023 23:40:00,21.62,0.00
9120,08/16/2023 23:50:00,21.58,0.00
9121,08/17/2023 00:00:00,21.58,0.00
9122,08/17/2023 00:10:00,21.53,0.00
9123,08/17/2023 00:20:00,21.53,0.00
9124,08/17/2023 00:30:00,21.53,0.00
9125,08/17/2023 00:40:00,21.49,0.00
9126,08/17/2023 00:50:00,21.45,0.00
9127,08/17/2023 01:00:00,21.40,0.00
9128,08/17/2023 01:10:00,21.32,0.00
9129,08/17/2023 01:20:00,21.28,0.00
9130,08/17/2023 01:30:00,21.23,0.00
9131,08/17/2023 01:40:00,21.15,0.00
9132,08/17/2023 01:50:00,21.06,0.00
9133,08/17/2023 02:00:00,21.02,0.00
9134,08/17/2023 02:10:00,20.93,0.00
9135,08/17/2023 02:20:00,20.93,0.00
9136,08/17/2023 02:30:00,20.80,0.00
9137,08/17/2023 02:40:00,20.80,0.00
9138,08/17/2023 02:50:00,20.68,0.00
9139,08/17/2023 03:00:00,20.68,0.00
9140,08/17/2023 03:10:00,20.68,0.00
9141,08/17/2023 03:20:00,20.68,0.00
9142,08/17/2023 03:30:00,20.68,0.00
9143,08/17/2023 03:40:00,20.68,0.00
9144,08/17/2023 03:50:00,20.72,0.00
9145,08/17/2023 04:00:00,20.72,0.00
9146,08/17/2023 04:10:00,20.89,0.00
9147,08/17/2023 04:20:00,20.93,0.00
9148,08/17/2023 04:30:00,20.98,0.00
9149,08/17/2023 04:40:00,21.06,0.00
9150,08/17/2023 04:50:00,21.06,0.00
9151,08/17/2023 05:00:00,21.06,0.00
9152,08/17/2023 05:10:00,21.10,0.00
9153,08/17/2023 05:20:00,21.19,0.00
9154,08/17/2023 05:30:00,21.19,0.00
9155,08/17/2023 05:40:00,21.23,0.43
9156,08/17/2023 05:50:00,21.28,2.16
9157,08/17/2023 06:00:00,21.28,6.06
9158,08/17/2023 06:10:00,21.28,11.31
9159,08/17/2023 06:20:00,21.32,23.93
9160,08/17/2023 06:30:00,21.32,26.15
9161,08/17/2023 06:40:00,21.36,40.56
9162,08/17/2023 06:50:00,21.36,44.44
9163,08/17/2023 07:00:00,21.40,59.78
9164,08/17/2023 07:10:00,21.45,315.12
9165,08/17/2023 07:20:00,21.49,231.12
9166,08/17/2023 07:30:00,21.53,212.00
9167,08/17/2023 07:40:00,21.58,188.40
9168,08/17/2023 07:50:00,21.58,157.04
9169,08/17/2023 08:00:00,21.62,126.48
9170,08/17/2023 08:10:00,21.66,157.88
9171,08/17/2023 08:20:00,21.66,149.12
9172,08/17/2023 08:30:00,21.66,93.36
9173,08/17/2023 08:40:00,21.70,110.76
9174,08/17/2023 08:50:00,21.70,89.88
9175,08/17/2023 09:00:00,21.75,122.04
9176,08/17/2023 09:10:00,21.75,108.08
9177,08/17/2023 09:20:00,21.70,148.24
9178,08/17/2023 09:30:00,21.70,133.40
9179,08/17/2023 09:40:00,21.75,139.60
9180,08/17/2023 09:50:00,21.75,159.64
9181,08/17/2023 10:00:00,21.70,245.20
9182,08/17/2023 10:10:00,21.75,244.32
9183,08/17/2023 10:20:00,21.79,329.76
9184,08/17/2023 10:30:00,21.79,489.44
9185,08/17/2023 10:40:00,21.83,444.80
9186,08/17/2023 10:50:00,21.79,395.04
9187,08/17/2023 11:00:00,21.70,328.16
9188,08/17/2023 11:10:00,21.70,312.32
9189,08/17/2023 11:20:00,21.66,299.28
9190,08/17/2023 11:30:00,21.62,314.88
9191,08/17/2023 11:40:00,21.58,280.88
9192,08/17/2023 11:50:00,21.49,313.20
9193,08/17/2023 12:00:00,21.49,358.40
9194,08/17/2023 12:10:00,21.53,476.48
9195,08/17/2023 12:20:00,21.49,577.44
9196,08/17/2023 12:30:00,21.49,709.12
9197,08/17/2023 12:40:00,21.66,2583.68
9198,08/17/2023 12:50:00,21.53,1058.56
9199,08/17/2023 13:00:00,21.53,616.80
9200,08/17/2023 13:10:00,21.49,392.48
9201,08/17/2023 13:20:00,21.45,445.76
9202,08/17/2023 13:30:00,21.45,573.12
9203,08/17/2023 13:40:00,21.40,444.00
9204,08/17/2023 13:50:00,21.36,283.52
9205,08/17/2023 14:00:00,21.32,256.40
9206,08/17/2023 14:10:00,21.23,295.60
9207,08/17/2023 14:20:00,21.28,359.52
9208,08/17/2023 14:30:00,21.19,296.72
9209,08/17/2023 14:40:00,21.15,240.00
9210,08/17/2023 14:50:00,21.06,257.28
9211,08/17/2023 15:00:00,21.02,352.32
9212,08/17/2023 15:10:00,20.98,384.64
9213,08/17/2023 15:20:00,20.98,267.68
9214,08/17/2023 15:30:00,20.93,252.08
9215,08/17/2023 15:40:00,20.93,204.24
9216,08/17/2023 15:50:00,20.89,200.56
9217,08/17/2023 16:00:00,20.89,267.92
9218,08/17/2023 16:10:00,20.89,241.68
9219,08/17/2023 16:20:00,20.93,166.56
9220,08/17/2023 16:30:00,20.98,270.48
9221,08/17/2023 16:40:00,20.98,164.80
9222,08/17/2023 16:50:00,21.06,191.04
9223,08/17/2023 17:00:00,21.06,115.12
9224,08/17/2023 17:10:00,21.15,105.48
9225,08/17/2023 17:20:00,21.15,125.60
9226,08/17/2023 17:30:00,21.15,128.20
9227,08/17/2023 17:40:00,21.19,81.12
9228,08/17/2023 17:50:00,21.23,61.50
9229,08/17/2023 18:00:00,21.28,68.88
9230,08/17/2023 18:10:00,21.28,68.12
9231,08/17/2023 18:20:00,21.28,84.56
9232,08/17/2023 18:30:00,21.32,75.92
9233,08/17/2023 18:40:00,21.36,43.16
9234,08/17/2023 18:50:00,21.45,59.78
9235,08/17/2023 19:00:00,21.45,52.78
9236,08/17/2023 19:10:00,21.49,38.39
9237,08/17/2023 19:20:00,21.58,25.28
9238,08/17/2023 19:30:00,21.58,14.81
9239,08/17/2023 19:40:00,21.58,8.71
9240,08/17/2023 19:50:00,21.66,3.70
9241,08/17/2023 20:00:00,21.66,0.00
9242,08/17/2023 20:10:00,21.62,0.00
9243,08/17/2023 20:20:00,21.66,0.00
9244,08/17/2023 20:30:00,21.70,0.00
9245,08/17/2023 20:40:00,21.66,0.00
9246,08/17/2023 20:50:00,21.70,0.00
9247,08/17/2023 21:00:00,21.70,0.00
9248,08/17/2023 21:10:00,21.66,0.00
9249,08/17/2023 21:20:00,21.75,0.00
9250,08/17/2023 21:30:00,21.83,0.00
9251,08/17/2023 21:40:00,21.83,0.00
9252,08/17/2023 21:50:00,21.83,0.00
9253,08/17/2023 22:00:00,21.83,0.00
9254,08/17/2023 22:10:00,21.83,0.00
9255,08/17/2023 22:20:00,21.79,0.00
9256,08/17/2023 22:30:00,21.66,0.00
9257,08/17/2023 22:40:00,21.53,0.00
9258,08/17/2023 22:50:00,21.32,0.00
9259,08/17/2023 23:00:00,21.28,0.00
9260,08/17/2023 23:10:00,21.28,0.00
9261,08/17/2023 23:20:00,21.23,0.00
9262,08/17/2023 23:30:00,21.23,0.00
9263,08/17/2023 23:40:00,21.23,0.00
9264,08/17/2023 23:50:00,21.28,0.00
9265,08/18/2023 00:00:00,21.23,0.00
9266,08/18/2023 00:10:00,21.23,0.00
9267,08/18/2023 00:20:00,21.28,0.00
9268,08/18/2023 00:30:00,21.32,0.00
9269,08/18/2023 00:40:00,21.32,0.00
9270,08/18/2023 00:50:00,21.32,0.00
9271,08/18/2023 01:00:00,21.32,0.00
9272,08/18/2023 01:10:00,21.32,0.00
9273,08/18/2023 01:20:00,21.23,0.00
9274,08/18/2023 01:30:00,21.19,0.00
9275,08/18/2023 01:40:00,21.15,0.00
9276,08/18/2023 01:50:00,21.06,0.00
9277,08/18/2023 02:00:00,21.02,0.00
9278,08/18/2023 02:10:00,21.02,0.00
9279,08/18/2023 02:20:00,20.98,0.00
9280,08/18/2023 02:30:00,20.89,0.00
9281,08/18/2023 02:40:00,20.80,0.00
9282,08/18/2023 02:50:00,20.76,0.00
9283,08/18/2023 03:00:00,20.72,0.00
9284,08/18/2023 03:10:00,20.68,0.00
9285,08/18/2023 03:20:00,20.63,0.00
9286,08/18/2023 03:30:00,20.63,0.00
9287,08/18/2023 03:40:00,20.59,0.00
9288,08/18/2023 03:50:00,20.59,0.00
9289,08/18/2023 04:00:00,20.59,0.00
9290,08/18/2023 04:10:00,20.63,0.00
9291,08/18/2023 04:20:00,20.63,0.00
9292,08/18/2023 04:30:00,20.63,0.00
9293,08/18/2023 04:40:00,20.72,0.00
9294,08/18/2023 04:50:00,20.76,0.00
9295,08/18/2023 05:00:00,20.85,0.00
9296,08/18/2023 05:10:00,20.89,0.00
9297,08/18/2023 05:20:00,20.98,0.00
9298,08/18/2023 05:30:00,20.98,0.21
9299,08/18/2023 05:40:00,21.02,0.00
9300,08/18/2023 05:50:00,21.06,1.51
9301,08/18/2023 06:00:00,21.06,3.89
9302,08/18/2023 06:10:00,21.10,6.49
9303,08/18/2023 06:20:00,21.06,9.99
9304,08/18/2023 06:30:00,21.15,13.29
9305,08/18/2023 06:40:00,21.15,23.06
9306,08/18/2023 06:50:00,21.23,30.97
9307,08/18/2023 07:00:00,21.23,34.00
9308,08/18/2023 07:10:00,21.23,51.44
9309,08/18/2023 07:20:00,21.28,57.12
9310,08/18/2023 07:30:00,21.32,36.60
9311,08/18/2023 07:40:00,21.36,63.68
9312,08/18/2023 07:50:00,21.36,99.40
9313,08/18/2023 08:00:00,21.40,57.12
9314,08/18/2023 08:10:00,21.36,69.74
9315,08/18/2023 08:20:00,21.40,40.98
9316,08/18/2023 08:30:00,21.45,48.34
9317,08/18/2023 08:40:00,21.49,40.98
9318,08/18/2023 08:50:00,21.45,29.62
9319,08/18/2023 09:00:00,21.49,26.58
9320,08/18/2023 09:10:00,21.49,24.36
9321,08/18/2023 09:20:00,21.53,17.19
9322,08/18/2023 09:30:00,21.49,24.80
9323,08/18/2023 09:40:00,21.53,17.87
9324,08/18/2023 09:50:00,21.53,20.90
9325,08/18/2023 10:00:00,21.58,13.05
9326,08/18/2023 10:10:00,21.53,13.05
9327,08/18/2023 10:20:00,21.53,23.06
9328,08/18/2023 10:30:00,21.53,16.97
9329,08/18/2023 10:40:00,21.58,20.03
9330,08/18/2023 10:50:00,21.62,44.02
9331,08/18/2023 11:00:00,21.58,41.36
9332,08/18/2023 11:10:00,21.58,112.52
9333,08/18/2023 11:20:00,21.49,272.88
9334,08/18/2023 11:30:00,21.40,188.40
9335,08/18/2023 11:40:00,21.36,179.76
9336,08/18/2023 11:50:00,21.36,255.60
9337,08/18/2023 12:00:00,21.36,247.76
9338,08/18/2023 12:10:00,21.32,353.28
9339,08/18/2023 12:20:00,21.32,233.68
9340,08/18/2023 12:30:00,21.32,552.32
9341,08/18/2023 12:40:00,21.32,354.08
9342,08/18/2023 12:50:00,21.28,288.72
9343,08/18/2023 13:00:00,21.28,320.08
9344,08/18/2023 13:10:00,21.32,334.08
9345,08/18/2023 13:20:00,21.28,547.04
9346,08/18/2023 13:30:00,21.32,780.48
9347,08/18/2023 13:40:00,21.32,1067.20
9348,08/18/2023 13:50:00,21.28,1016.32
9349,08/18/2023 14:00:00,21.19,492.96
9350,08/18/2023 14:10:00,21.10,366.40
9351,08/18/2023 14:20:00,21.06,233.92
9352,08/18/2023 14:30:00,21.06,205.92
9353,08/18/2023 14:40:00,20.98,317.52
9354,08/18/2023 14:50:00,21.02,635.84
9355,08/18/2023 15:00:00,21.02,1472.64
9356,08/18/2023 15:10:00,20.98,1382.40
9357,08/18/2023 15:20:00,20.93,480.32
9358,08/18/2023 15:30:00,20.93,1179.84
9359,08/18/2023 15:40:00,20.98,1514.24
9360,08/18/2023 15:50:00,20.93,1274.24
9361,08/18/2023 16:00:00,20.80,305.36
9362,08/18/2023 16:10:00,20.76,184.96
9363,08/18/2023 16:20:00,20.72,113.36
9364,08/18/2023 16:30:00,20.72,129.96
9365,08/18/2023 16:40:00,20.76,106.32
9366,08/18/2023 16:50:00,20.80,323.76
9367,08/18/2023 17:00:00,20.89,258.16
9368,08/18/2023 17:10:00,20.89,183.20
9369,08/18/2023 17:20:00,21.02,143.04
9370,08/18/2023 17:30:00,21.02,266.96
9371,08/18/2023 17:40:00,21.10,161.36
9372,08/18/2023 17:50:00,21.10,83.72
9373,08/18/2023 18:00:00,21.15,69.74
9374,08/18/2023 18:10:00,21.19,32.22
9375,08/18/2023 18:20:00,21.19,220.88
9376,08/18/2023 18:30:00,21.23,102.00
9377,08/18/2023 18:40:00,21.23,62.76
9378,08/18/2023 18:50:00,21.23,43.96
9379,08/18/2023 19:00:00,21.23,35.25
9380,08/18/2023 19:10:00,21.28,28.75
9381,08/18/2023 19:20:00,21.28,20.03
9382,08/18/2023 19:30:00,21.36,7.17
9383,08/18/2023 19:40:00,21.36,0.64
9384,08/18/2023 19:50:00,21.40,0.00
9385,08/18/2023 20:00:00,21.40,0.00
9386,08/18/2023 20:10:00,21.45,0.00
9387,08/18/2023 20:20:00,21.49,0.00
9388,08/18/2023 20:30:00,21.53,0.00
9389,08/18/2023 20:40:00,21.53,0.00
9390,08/18/2023 20:50:00,21.53,0.00
9391,08/18/2023 21:00:00,21.58,0.00
9392,08/18/2023 21:10:00,21.58,0.00
9393,08/18/2023 21:20:00,21.53,0.00
9394,08/18/2023 21:30:00,21.58,0.00
9395,08/18/2023 21:40:00,21.62,0.00
9396,08/18/2023 21:50:00,21.58,0.00
9397,08/18/2023 22:00:00,21.58,0.00
9398,08/18/2023 22:10:00,21.62,0.00
9399,08/18/2023 22:20:00,21.62,0.00
9400,08/18/2023 22:30:00,21.66,0.00
9401,08/18/2023 22:40:00,21.66,0.00
9402,08/18/2023 22:50:00,21.70,0.00
9403,08/18/2023 23:00:00,21.66,0.00
9404,08/18/2023 23:10:00,21.62,0.00
9405,08/18/2023 23:20:00,21.53,0.00
9406,08/18/2023 23:30:00,21.49,0.00
9407,08/18/2023 23:40:00,21.45,0.00
9408,08/18/2023 23:50:00,21.36,0.00
9409,08/19/2023 00:00:00,21.40,0.00
9410,08/19/2023 00:10:00,21.32,0.00
9411,08/19/2023 00:20:00,21.32,0.00
9412,08/19/2023 00:30:00,21.32,0.00
9413,08/19/2023 00:40:00,21.28,0.00
9414,08/19/2023 00:50:00,21.28,0.00
9415,08/19/2023 01:00:00,21.28,0.00
9416,08/19/2023 01:10:00,21.28,0.00
9417,08/19/2023 01:20:00,21.28,0.00
9418,08/19/2023 01:30:00,21.28,0.00
9419,08/19/2023 01:40:00,21.23,0.00
9420,08/19/2023 01:50:00,21.23,0.00
9421,08/19/2023 02:00:00,21.15,0.00
9422,08/19/2023 02:10:00,21.15,0.00
9423,08/19/2023 02:20:00,21.10,0.00
9424,08/19/2023 02:30:00,21.06,0.00
9425,08/19/2023 02:40:00,21.06,0.00
9426,08/19/2023 02:50:00,20.98,0.00
9427,08/19/2023 03:00:00,20.89,0.00
9428,08/19/2023 03:10:00,20.85,0.00
9429,08/19/2023 03:20:00,20.80,0.00
9430,08/19/2023 03:30:00,20.72,0.00
9431,08/19/2023 03:40:00,20.72,0.00
9432,08/19/2023 03:50:00,20.68,0.00
9433,08/19/2023 04:00:00,20.63,0.00
9434,08/19/2023 04:10:00,20.63,0.00
9435,08/19/2023 04:20:00,20.63,0.00
9436,08/19/2023 04:30:00,20.59,0.00
9437,08/19/2023 04:40:00,20.63,0.00
9438,08/19/2023 04:50:00,20.68,0.00
9439,08/19/2023 05:00:00,20.68,0.00
9440,08/19/2023 05:10:00,20.72,0.00
9441,08/19/2023 05:20:00,20.80,0.00
9442,08/19/2023 05:30:00,20.80,0.00
9443,08/19/2023 05:40:00,20.85,1.73
9444,08/19/2023 05:50:00,20.85,6.74
9445,08/19/2023 06:00:00,20.89,16.11
9446,08/19/2023 06:10:00,20.89,31.35
9447,08/19/2023 06:20:00,20.85,47.04
9448,08/19/2023 06:30:00,20.93,68.00
9449,08/19/2023 06:40:00,20.93,90.64
9450,08/19/2023 06:50:00,20.93,163.20
9451,08/19/2023 07:00:00,20.93,272.24
9452,08/19/2023 07:10:00,21.02,333.28
9453,08/19/2023 07:20:00,21.06,382.08
9454,08/19/2023 07:30:00,21.06,444.80
9455,08/19/2023 07:40:00,21.06,1007.68
9456,08/19/2023 07:50:00,21.23,1312.64
9457,08/19/2023 08:00:00,21.10,1149.76
9458,08/19/2023 08:10:00,21.32,2606.08
9459,08/19/2023 08:20:00,21.36,2759.68
9460,08/19/2023 08:30:00,21.40,2526.08
9461,08/19/2023 08:40:00,21.49,2892.80
9462,08/19/2023 08:50:00,21.32,762.24
9463,08/19/2023 09:00:00,21.19,1144.32
9464,08/19/2023 09:10:00,21.15,355.84
9465,08/19/2023 09:20:00,21.15,621.12
9466,08/19/2023 09:30:00,21.19,499.04
9467,08/19/2023 09:40:00,21.28,2924.80
9468,08/19/2023 09:50:00,21.19,681.28
9469,08/19/2023 10:00:00,21.23,960.64
9470,08/19/2023 10:10:00,21.23,539.68
9471,08/19/2023 10:20:00,21.23,603.36
9472,08/19/2023 10:30:00,21.32,2441.60
9473,08/19/2023 10:40:00,21.45,2481.28
9474,08/19/2023 10:50:00,21.36,1198.08
9475,08/19/2023 11:00:00,21.36,664.32
9476,08/19/2023 11:10:00,21.36,1364.48
9477,08/19/2023 11:20:00,21.36,867.20
9478,08/19/2023 11:30:00,21.36,646.24
9479,08/19/2023 11:40:00,21.40,1756.80
9480,08/19/2023 11:50:00,21.40,1604.48
9481,08/19/2023 12:00:00,21.36,1945.60
9482,08/19/2023 12:10:00,21.28,665.28
9483,08/19/2023 12:20:00,21.32,2606.08
9484,08/19/2023 12:30:00,21.28,487.68
9485,08/19/2023 12:40:00,21.28,867.20
9486,08/19/2023 12:50:00,21.19,517.12
9487,08/19/2023 13:00:00,21.19,395.04
9488,08/19/2023 13:10:00,21.15,471.68
9489,08/19/2023 13:20:00,21.19,976.32
9490,08/19/2023 13:30:00,21.15,651.52
9491,08/19/2023 13:40:00,21.10,477.28
9492,08/19/2023 13:50:00,21.06,304.48
9493,08/19/2023 14:00:00,21.06,176.32
9494,08/19/2023 14:10:00,21.06,298.48
9495,08/19/2023 14:20:00,21.06,219.84
9496,08/19/2023 14:30:00,20.98,200.80
9497,08/19/2023 14:40:00,20.98,300.16
9498,08/19/2023 14:50:00,20.98,164.80
9499,08/19/2023 15:00:00,20.98,467.36
9500,08/19/2023 15:10:00,20.98,439.68
9501,08/19/2023 15:20:00,20.98,344.48
9502,08/19/2023 15:30:00,20.93,230.40
9503,08/19/2023 15:40:00,20.98,708.16
9504,08/19/2023 15:50:00,21.02,1867.52
9505,08/19/2023 16:00:00,20.93,166.56
9506,08/19/2023 16:10:00,20.89,315.76
9507,08/19/2023 16:20:00,20.85,766.72
9508,08/19/2023 16:30:00,20.89,296.48
9509,08/19/2023 16:40:00,20.80,165.68
9510,08/19/2023 16:50:00,20.80,246.00
9511,08/19/2023 17:00:00,20.76,184.96
9512,08/19/2023 17:10:00,20.76,147.40
9513,08/19/2023 17:20:00,20.80,75.92
9514,08/19/2023 17:30:00,20.80,51.86
9515,08/19/2023 17:40:00,20.80,91.60
9516,08/19/2023 17:50:00,20.89,169.36
9517,08/19/2023 18:00:00,20.89,176.32
9518,08/19/2023 18:10:00,20.89,78.52
9519,08/19/2023 18:20:00,20.93,69.84
9520,08/19/2023 18:30:00,20.98,46.18
9521,08/19/2023 18:40:00,20.93,20.03
9522,08/19/2023 18:50:00,20.98,24.85
9523,08/19/2023 19:00:00,20.98,24.36
9524,08/19/2023 19:10:00,21.02,20.90
9525,08/19/2023 19:20:00,20.98,10.23
9526,08/19/2023 19:30:00,21.02,7.60
9527,08/19/2023 19:40:00,21.06,3.03
9528,08/19/2023 19:50:00,21.02,0.43
9529,08/19/2023 20:00:00,21.02,0.00
9530,08/19/2023 20:10:00,21.10,0.00
9531,08/19/2023 20:20:00,21.10,0.00
9532,08/19/2023 20:30:00,21.10,0.00
9533,08/19/2023 20:40:00,21.10,0.00
9534,08/19/2023 20:50:00,21.10,0.00
9535,08/19/2023 21:00:00,21.19,0.00
9536,08/19/2023 21:10:00,21.23,0.00
9537,08/19/2023 21:20:00,21.19,0.00
9538,08/19/2023 21:30:00,21.23,0.00
9539,08/19/2023 21:40:00,21.28,0.00
9540,08/19/2023 21:50:00,21.28,0.00
9541,08/19/2023 22:00:00,21.23,0.00
9542,08/19/2023 22:10:00,21.23,0.00
9543,08/19/2023 22:20:00,21.28,0.00
9544,08/19/2023 22:30:00,21.28,0.00
9545,08/19/2023 22:40:00,21.28,0.00
9546,08/19/2023 22:50:00,21.28,0.00
9547,08/19/2023 23:00:00,21.36,0.00
9548,08/19/2023 23:10:00,21.28,0.00
9549,08/19/2023 23:20:00,21.36,0.00
9550,08/19/2023 23:30:00,21.28,0.00
9551,08/19/2023 23:40:00,21.32,0.00
9552,08/19/2023 23:50:00,21.23,0.00
9553,08/20/2023 00:00:00,21.23,0.00
9554,08/20/2023 00:10:00,21.23,0.00
